movie_title,genre
Un indien dans la ville,Comedy
James and the Giant Peach,Adventure
Celtic Pride,Comedy
Last Dance,Drama
Boys,Drama
Spy Hard,Comedy
Eddie,Comedy
The Rock,Action
The Hunchback of Notre Dame,Adventure
Phenomenon,Drama
Kazaam,Comedy
Jack,Drama
First Kid,Comedy
The Rich Man's Wife,Thriller/Suspense
D3: The Mighty Ducks,Comedy
The Associate,Comedy
Ransom,Action
The War at Home,
101 Dalmatians,Comedy
The Preacher's Wife,Drama
Evita,Musical
Metro,Action
Prefontaine,Drama
Shadow Conspiracy,Thriller/Suspense
That Darn Cat,Comedy
Jungle 2 Jungle,Comedy
The Sixth Man,Comedy
Grosse Pointe Blank,Black Comedy
Romy and Michele's High School Reunion,Comedy
Gone Fishin',Comedy
Con Air,Action
Hercules,Adventure
George Of The Jungle,Comedy
Nothing To Lose,Comedy
Air Bud,Comedy
G.I. Jane,Drama
A Thousand Acres,Drama
Washington Square,Drama
Rocket Man,Comedy
Playing God,Thriller/Suspense
Flubber,Comedy
An American Werewolf in Paris,Horror
Mr. Magoo,Comedy
Kundun,Drama
Deep Rising,Action
Krippendorf's Tribe,Comedy
An Alan Smithee Film: Burn Hollywood …,Comedy
Meet the Deedles,Comedy
He Got Game,Drama
The Horse Whisperer,Drama
"Six Days, Seven Nights",Romantic Comedy
Mulan,Adventure
Armageddon,Adventure
Jane Austen's Mafia,Comedy
The Parent Trap,Comedy
Firelight,Drama
Simon Birch,Drama
Holy Man,Comedy
Beloved,Drama
The Waterboy,Comedy
I'll Be Home For Christmas,Comedy
A Bug's Life,Adventure
Enemy of the State,Action
Rushmore,Black Comedy
A Civil Action,Drama
Mighty Joe Young,Adventure
My Favorite Martian,Comedy
The Other Sister,Romantic Comedy
Doug's 1st Movie,Adventure
Ten Things I Hate About You,Romantic Comedy
Endurance,
Instinct,Drama
Tarzan,Adventure
Summer of Sam,Drama
Inspector Gadget,Comedy
The Sixth Sense,Thriller/Suspense
The 13th Warrior,Action
Breakfast of Champions,Comedy
Mumford,Comedy
"Mystery, Alaska",Comedy
The Straight Story,Drama
The Insider,Drama
Toy Story 2,Adventure
Cradle Will Rock,Drama
Deuce Bigalow: Male Gigolo,Comedy
Bicentennial Man,Drama
Play it to the Bone,Comedy
Fantasia 2000 (IMAX),Musical
Gun Shy,Comedy
The Tigger Movie,Adventure
Mission to Mars,Adventure
High Fidelity,Comedy
Keeping the Faith,Romantic Comedy
Dinosaur,Adventure
Shanghai Noon,Western
Gone in 60 Seconds,Action
Fantasia 2000 (Theatrical Release),Musical
The Kid,Comedy
Coyote Ugly,Drama
The Crew,Comedy
Duets,Drama
Remember the Titans,Drama
Unbreakable,Thriller/Suspense
102 Dalmatians,Comedy
The Emperor's New Groove,Adventure
